2022-01-01,10.00
2022-01-01,20.00
2022-01-02,15.00
2022-01-03,5.00
2022-01-03,10.00
2022-01-03,15.00
2022-01-04,20.00
2022-01-04,25.00
2022-01-05,30.00
2022-01-05,35.00
2022-01-06,10.00
2022-01-06,20.00
2022-01-06,30.00
2022-01-07,5.00
2022-01-07,10.00
2022-01-08,15.00
2022-01-09,20.00
2022-01-09,25.00
2022-01-09,30.00
2022-01-10,5.00
2022-01-10,10.00
2022-01-10,15.00
2022-02-06,20.00
2022-02-06,30.00
2022-02-07,5.00
2022-02-07,10.00
2022-02-08,15.00
2022-02-09,20.00
2022-02-09,25.00
2022-02-09,30.00
2022-02-10,5.00
2022-02-10,10.00
2022-02-10,15.00
2022-03-01,10.00
2022-03-01,20.00
2022-03-02,15.00
2022-03-03,5.00
2022-03-03,10.00
2022-03-03,15.00
2022-03-04,20.00
2022-03-04,25.00
2022-03-05,30.00
2022-03-05,35.00
2022-03-06,10.00
2022-03-06,20.00
2022-03-06,30.00
2022-03-07,5.00
